4.90E-01,6.30E+03,5.00E-01,5.07E-01,6.67E-03,2.53E-01,5.00E-01,3.36E-01,5.11E-01
5.64E-01,5.40E+03,5.00E-01,5.07E-01,6.67E-03,2.53E-01,5.00E-01,3.36E-01,4.96E-01
5.69E-01,5.40E+03,5.00E-01,5.07E-01,6.67E-03,2.53E-01,5.00E-01,3.36E-01,5.21E-01
7.74E-01,5.40E+03,5.00E-01,5.07E-01,6.67E-03,2.53E-01,5.00E-01,3.36E-01,5.00E-01
3.37E-01,6.24E+03,5.27E-01,5.73E-01,4.67E-02,5.32E-01,5.00E-01,4.67E-01,5.75E-01
3.38E-01,6.25E+03,5.43E-01,5.87E-01,3.70E-02,5.42E-01,6.97E-01,6.02E-01,5.84E-01
3.24E-01,6.25E+03,5.17E-01,5.73E-01,4.84E-02,4.45E-01,5.07E-01,4.53E-01,5.71E-01
4.56E-01,5.33E+03,5.33E-01,6.13E-01,6.33E-02,4.09E-01,3.03E-01,3.34E-01,5.63E-01
4.60E-01,5.34E+03,5.17E-01,5.73E-01,4.66E-02,3.74E-01,3.75E-01,3.54E-01,5.16E-01
4.75E-01,5.35E+03,5.50E-01,6.00E-01,4.46E-02,4.21E-01,5.79E-01,4.82E-01,5.81E-01
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
